"loc_id";"ciclovia_rango_inv_proy";"highway_rango_inv_proy";"censo2_rango_proy";"green_areas_rango_inv_proy";"mall_rango_inv_proy";"school_rango_inv_proy";"sport_rango_inv_proy";"tourism_rango_inv_proy";"ues_rango_inv_proy";"X";"Y";"optional"
314;0.885049641132355;0.985180616378784;0.805229842662811;0.913752913475037;0.995081424713135;0.958879113197327;0.901695430278778;0.9339559674263;0.892119824886322;-73.05315844;-36.82375406;TRUE
315;0.898777902126312;0.979381144046783;0.794305860996246;0.895144522190094;0.994980573654175;0.94052118062973;0.890893697738647;0.936877250671387;0.908085227012634;-73.05280345;-36.82429156;TRUE
316;0.912501335144043;0.978392362594604;0.782583475112915;0.897252380847931;0.985197365283966;0.922077476978302;0.877970159053802;0.941050827503204;0.924031794071198;-73.05249979;-36.82475032;TRUE
317;0.926645338535309;0.972957909107208;0.773656785488129;0.92159241437912;0.981949031352997;0.909773826599121;0.876220762729645;0.957163989543915;0.940278887748718;-73.05215764;-36.82526385;TRUE
318;0.940233588218689;0.963354587554932;0.763375461101532;0.944815874099731;0.991721093654633;0.900677382946014;0.888352394104004;0.972622275352478;0.955930590629578;-73.05184115;-36.82573972;TRUE
319;0.955312252044678;0.956710994243622;0.751323878765106;0.970115840435028;0.998367488384247;0.917888820171356;0.898295998573303;0.989342093467712;0.973294317722321;-73.05149899;-36.8263183;TRUE
320;0.981269776821136;0.942613065242767;0.728919446468353;0.998465597629547;0.988767087459564;0.94576758146286;0.908831655979156;0.992824554443359;0.991284012794495;-73.05089218;-36.82722461;TRUE
321;0.988190889358521;0.968947649002075;0.699054718017578;0.971728265285492;0.996035933494568;0.961038708686829;0.903087735176086;0.98967182636261;0.958460330963135;-73.05018194;-36.82832818;TRUE
322;0.977270781993866;0.980359494686127;0.689321100711823;0.953698933124542;0.995533466339111;0.962917566299438;0.898024916648865;0.983080863952637;0.945719659328461;-73.04987703;-36.82874561;TRUE
323;0.95937842130661;0.97263240814209;0.667372941970825;0.922390401363373;0.985423743724823;0.957607626914978;0.91591489315033;0.963307499885559;0.956454336643219;-73.04950725;-36.82937278;TRUE
324;0.945785582065582;0.961882174015045;0.649827003479004;0.898990988731384;0.975601553916931;0.961617648601532;0.935101628303528;0.948003530502319;0.972250044345856;-73.04915909;-36.82987644;TRUE
325;0.941107869148254;0.984626471996307;0.630651414394379;0.900939047336578;0.965449690818787;0.980011701583862;0.954428911209106;0.932324647903442;0.9879110455513;-73.04885661;-36.83036211;TRUE
326;0.95711350440979;0.987146437168121;0.608391940593719;0.928418874740601;0.953292548656464;1;0.977047085762024;0.917231976985931;0.990594208240509;-73.04846346;-36.83091126;TRUE
327;0.974060535430908;0.964828372001648;0.584913969039917;0.957531630992889;0.940607726573944;0.999759256839752;0.998271405696869;0.936614513397217;0.972385048866272;-73.04805122;-36.83158306;TRUE
328;0.995623052120209;0.959546387195587;0.648013412952423;0.889090180397034;0.911089241504669;0.922345578670502;0.745195508003235;0.90650486946106;0.937644422054291;-73.0625583;-36.82389416;TRUE
329;0.980908751487732;0.951590418815613;0.666563093662262;0.909959554672241;0.904702544212341;0.942052721977234;0.74818229675293;0.920094430446625;0.954110026359558;-73.06190483;-36.82363762;TRUE
330;0.966554760932922;0.937038421630859;0.684590339660645;0.929941117763519;0.900908172130585;0.961513221263885;0.754229962825775;0.9334317445755;0.968291342258453;-73.06127955;-36.82335985;TRUE
331;0.952956855297089;0.917647659778595;0.701452910900116;0.942845404148102;0.908446371555328;0.97934889793396;0.772713899612427;0.942917704582214;0.979742407798767;-73.06066869;-36.82311369;TRUE
332;0.941026926040649;0.89908230304718;0.71543687582016;0.946723699569702;0.914943873882294;0.991752147674561;0.788575708866119;0.947951078414917;0.983355820178986;-73.06010163;-36.82287984;TRUE
333;0.925582468509674;0.901955187320709;0.734014749526978;0.947704672813416;0.921455800533295;0.993597984313965;0.809683322906494;0.95183652639389;0.97322404384613;-73.05942573;-36.82260473;TRUE
334;0.909889340400696;0.931778728961945;0.766442537307739;0.939358770847321;0.931342124938965;0.975244343280792;0.846822082996368;0.968193531036377;0.944359481334686;-73.05815985;-36.82207285;TRUE
335;0.908485472202301;0.954280316829681;0.78117972612381;0.942865550518036;0.932580888271332;0.958155035972595;0.864968657493591;0.964212656021118;0.928994119167328;-73.05758133;-36.82182066;TRUE
336;0.902462363243103;0.976425588130951;0.797119379043579;0.950868487358093;0.934332013130188;0.943311929702759;0.882885456085205;0.956607401371002;0.912739932537079;-73.05690543;-36.82154554;TRUE
337;0.896959364414215;0.987110793590546;0.809079825878143;0.949163854122162;0.933856666088104;0.950140833854675;0.898432612419128;0.958264946937561;0.898248851299286;-73.05634981;-36.82132086;TRUE
